Article Text,Category
"NYMEX բորսայի սեպտեմբերի 14-ի առևտրային նստաշրջանի արդյունքում սահմանվել են ոսկու, արծաթի և պլատինի հետևյալ գները.",Տնտեսություն
"Ոսկու գինն աճել է 0.31%-ով և կազմել 1937.10 դոլար, արծաթի գինն աճել է 0.48%-ով և կազմել 23.16 դոլար, իսկ պլատինի գինն աճել է 1.17%-ով և կազմել 917.70 դոլար:",Տնտեսություն
Չափման միավորը 1 տրոյական ունցիան է (31.1 գրամ):,Տնտեսություն
"Նյու Յորքի NYMEХ-ն (New York Merchantile Exchange) ամերիկայն ֆյուչերսային բորսա է, որն առեւտուրը շարունակվում է երկու բորսայական միավորներով` NYMEX-ի` նավթի, գազի, պլատինի, պալադիումի, էթանոլի, ածխի, էլեկտրաէներգիայի եւ ածխածնի երկօքսիդի արտանետումների և COMEX-ի ոսկու, արծաթի, պղինձի, ալյումինի ուղություններով:",Տնտեսություն
" Ֆրանկֆուրտում անցկացվող Ներդրումների կառավարման ցուցահանդեսի շրջանակում ՀՀ էկոնոմիկայի նախարար Վահան Քերոբյանը հայկական տաղավարում հանդիպել է Շարժայի օտարերկրյա ուղղակի ներդրումների ընկերության ղեկավար Մոհամմադ Ջումա Ալ Մուշարախի հետ, այս մասին հաղորդագրություն է տարածել ՀՀ էկոնոմիկայի նախարարությունը։ Քննարկվել են երկու երկրների միջև համագործակցության, արդյունաբերության եւ այլ ոլորտներում ներդրումների իրականացման հնարավորությունները։ Մոհամմադ Ջումա Ալ Մուշարախը նշել է, որ իրենք հատկապես հետաքրքրված են դեղագործության ոլորտով։",Տնտեսություն
"ԱՄՆ դոլարի փոխարժեքն այսօր՝ սեպտեմբերի 14-ին, կազմել է 386.04 դրամ՝ նախորդ օրվա համեմատ նվազել է 0.19 դրամով: Այդ մասին տեղեկանում ենք Կենտրոնական բանկի պաշտոնական կայքից։",Տնտեսություն
"Եվրոյի փոխարժեքը կազմել է 414.45 դրամ (նվազել է 0.25 դրամով), բրիտանական ֆունտի փոխարժեքը կազմել է 481.20 դրամ (նվազել է 0.70 դրամով), իսկ ռուսական ռուբլու փոխարժեքը կազմել է 4.01 դրամ (նվազել է 0.03 դրամով):",Տնտեսություն
"Հայաստանյան բանկերում դոլարը գնվում է 382-383 դրամով, վաճառվում է 387.50-388.50 դրամով:",Տնտեսություն
"Եվրոն բանկերում գնվում է 407-411 դրամով, վաճառվում է 417-421 դրամով:",Տնտեսություն
"Ռուբլին բանկերում գնվում է 3.68-3.99 դրամով, վաճառվում է 4.05-4.25 դրամով:",Տնտեսություն
Փոխանակման կետերում իրավիճակը հետևյալն է.,Տնտեսություն
"դոլարը գնվում է 385 դրամով, վաճառվում՝ 388 դրամով:",Տնտեսություն
"Եվրոն գնվում է 410-414 դրամով, վաճառվում է 417 դրամով:",Տնտեսություն
"Ռուբլին գնվում է 3.90-3.95 դրամով, վաճառվում է 4.05 դրամով:",Տնտեսություն
Կառավարությունը գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում ներմուծման մաքսատուրքից ազատեց «ՋԵՐՄՈՒԿ ԳՐՈՒՊ» փակ բաժնետիրական ընկերությանը:,Տնտեսություն
"«ՋԵՐՄՈՒԿ ԳՐՈՒՊ»-ի կողմից ներմուծվող հումքը նախատեսվում է օգտագործել պոլիէթիլենային ջերմակցման թաղանթի (պոլիէթիլենային հումքից) արտադրության համար, իսկ թամբային քարշակները և սառնարանային կիսակցորդները՝ թողարկված արտադրանքը արտահանելու նպատակով։ Ընկերությունը նախատեսում է թողարկված արտադրանքի 80 տոկոսը և ավելին արտահանել ԵՄ երկրներ, ԱՄԷ, ԱՄՆ Վրաստան և այլ երկրներ։",Տնտեսություն
Արդեն իսկ իրականացվել է 159․9 մլն դրամի կապիտալ ներդրում։ Ծրագրի շրջանակներում նախատեսվում է իրականացնել 6․6 մլրդ դրամի ներդրում հումքի ձեռքբերման համար և 1․7 մլրդ դրամի ներդրում քարշակների և կիսակցորդների ձեռքբերման համար։,Տնտեսություն
Նախատեսվում է ներդրումային ծրագրի շրջանակներում ստեղծել 32 նոր աշխատատեղ՝ մինչև 460 հազ դրամ միջին ամսական աշխատավարձով։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է 8.3 մլրդ դրամ: Մաքսատուրքից ազատման արտոնությունը գնահատվում է 102․6 մլն դրամ:,Տնտեսություն
Կառավարությունն իր այսօրվա՝ սեպտեմբերի 14-ի նիստում հաստատեց «Հայկական ատոմային էլեկտրակայան» փակ բաժնետիրական ընկերության N-2 էներգաբլոկի շահագործման ժամկետը երկարացնելու (ՇԺԵ-2) ծրագիրը և այդ ծրագրով նախատեսված միջոցառումների կազմակերպման և կատարման պլանը:,Տնտեսություն
"Որոշման հիմնավորման մեջ նշվում է, որ Հայկական ատոմային էլեկտրակայանի 2-րդ էներգաբլոկի շահագործման նախագծային ժամկետն ավարտվել է 2016 թվականին։",Տնտեսություն
"2014-ին իրականացվել է ՀԱԷԿ-ի №-2 էներգաբլոկի շահագործման նախագծային ժամկետի երկարացման ծրագիրը, որի արդյունքում ՀԱԷԿ-ի №2 էներգաբլոկի շահագործման ժամկետը սահմանված կարգով երկարացվել է մինչև 2026 թվականը։",Տնտեսություն
"Նշված ծրագրի շրջանակներում ՀԱԷԿ-ում կատարվել են մեծածավալ արդիականացման և վերազինման աշխատանքներ (շուրջ 189 մլն ԱՄՆ դոլար ՌԴ-ից ստացված վարկային և դրամաշնորհային միջոցներ, ինչպես նաև ՀՀ պետական բյուջեից շուրջ 63,2 մլրդ դրամ)։",Տնտեսություն
"Հաշվի առնելով արդեն իսկ կատարված արդիականացման աշխատանքները, ինչպես նաև մասնագիտացված կազմակերպությունների կարծիքները և նմանատիպ էներգաբլոկների շահագործման ժամկետի երկարացման միջազգային փորձը, նախատեսվում է, որ լրացուցիչ ներդումներ/աշխատանքներ կատարելու միջոցով հնարավորություն կստեղծվի երկարացնել ՀԱԷԿ №2 էներգաբլոկի շահագործման նախագծային ժամկետը ևս 10-ը տարով՝ 2026 թվականից մինչև 2036 թվականը:",Տնտեսություն
"Աշխատանքները նախատեսվում է իրականացնել «ՀԱԷԿ» ՓԲԸ-ին տրամադրվելիք վարկի միջոցներով, ինչն իր հերթին ՀՀ պետական բյուջեում կարող է առաջացնել ծախսերի և եկամուտների ավելացում կամ նվազեցում:",Տնտեսություն
ՀՀ կառավարության որոշման նախագիծը բխում է «Հայաստանի Հանրապետության էներգետիկայի բնագավառի զարգացման ռազմավարական ծրագրից (մինչև 2040 թվականը):,Տնտեսություն
"Կառավարությունն իր այսօրվա՝ սեպտեմբերի 14-ի նիստում որոշեց փոփոխություն կատարել իր նախկին որոշումներից մեկում, որը պայմանավորված է «ՍՈԼԱՐԱ» ՍՊԸ-ի կողմից գերակա ոլորտում իրականացվող ներդրումային ծրագրի իրականացումն ապահովելու անհրաժեշտությամբ:",Տնտեսություն
"Նշենք, որ կառավարությունը ներդրումային ծրագրի շրջանակներում ներմուծման մաքսատուրքից ազատել էր «ՍՈԼԱՐԱ»-ին:",Տնտեսություն
"«ՍՈԼԱՐԱ»ՍՊ ընկերության կողմից ներմուծվող սարքավորումները նախատեսվում է օգտագործել ալյումինե պրոֆիլների արտադրության համար՝ հիմնականում  նախատեսված արևային ֆոտովոլտային կայանների կառուցման համար։ Ալյումինե դետալների արտադրության գործարանը բաղկացած է լինելու մի քանի մասնաշենքերից՝ պահեստային տարածք, արտադրական տարածք, ադմինիստրատիվ տարածք։ Արտադրությունն իրականացվելու է ՀՀ Աբովյան քաղաքում։ Ընկերությունը հիմնադրվել է 2019 թվականին։",Տնտեսություն
"Հաշվի առնելով, որ Ընկերությունը մեկնարկում է ծրագրի իրականացման 2-րդ փուլը՝ ներկայումս անհրաժեշտություն է առաջացել ներմուծել 118․5 մլն դրամի լրացուցիչ ապրանքներ՝ առաջիկա արտադրական պրոցեսի բնականոն ընթացքը չխաթարելու համար։ Իրականացվող լրացման արդյունքում ապրանքների ընդհանուր արժեքը կկազմի է 427․8 մլն դրամ։",Տնտեսություն
"Ընկերությունը նախատեսում է ցանկում ներկայացված ապրանքները ներմուծել «ԱԿԲԱ ԼԻԶԻՆԳ» ՎԿ փակ բաժնետիրական ընկերության (այսուհետ՝ Լիզինգատու կազմակերպություն) միջոցով՝ պայմանով, որ ապրանքները ներմուծելուց հետո, այն հանձնելու է «ՍՈԼԱՐԱ» սահմանափակ պատասխանատվությամբ ընկերությանը ներդրումային ծրագրի իրականացման համար։",Տնտեսություն
Այս որոշումը կնպաստի մինչև 2030 թվականը արևային էներգիայի արտադրության բաժինն ընդհանուրի մեջ հասցնել առնվազն 15 տոկոսի։,Տնտեսություն
Հայաստանում էլեկտրական շարժիչով աշխատող տրանսպորտային միջոցների համար ավելացված արժեքի հարկի գծով գործող արտոնությունը նախատեսվում է երկարաձգել մինչև 2025 թվականի հունվարի 1-ը:,Տնտեսություն
Կառավարության նիստի ժամանակ համապատասխան նախագիծը ներկայացրեց Էկոնոմիկայի նախարարի տեղակալ Արման Խոջոյանը։,Տնտեսություն
«Գործող օրենքով նշված տրանսպորտային միջոցներն ազատված են ավելացված արժեքի հարկ վճարումից մինչև 2024 թվականի հունվարի 1-ը։,Տնտեսություն
"Նախագծով նախատեսվում է ավելացված արժեքի հարկից ազատման արտոնությունը երկարաձգել ևս մեկ տարով»,- ասաց Խոջոյանը։",Տնտեսություն
Նրա խոսքով՝ այս երկու տարիների ընթացքում աճել է էլեկտրական շարժիչով տրանսպորտային ներմուծման ծավալները։,Տնտեսություն
"«Մասնավորապես, 2022 թվականին 2021 թվականի համեմատ էլեկտրական շարժիչով մեքենաների ներմուծման ծավալն աճել է 1,8 անգամ, իսկ 2020 թվականի համեմատ շուրջ 12 անգամ։ Էլեկտրական շարժիչով մոտոցիկլետների և մոպեդների ներմուծման ծավալը 2022 թվականին 2021 թվականի համեմատ աճել է 3,8 անգամ»,- ասաց Խոջոյանը։",Տնտեսություն
Պետական եկամուտների կոմիտեն ներկայացնում է 2023 թ. օգոստոս ամսվա ընթացքում ավարտված հսկողական աշխատանքների արդյունքներով հսկիչ դրամարկղային մեքենաների կիրառման կանոնների խախտումներ թույլ տված հարկ վճարողների վերաբերյալ տեղեկատվությունը:,Տնտեսություն
2023 թվականի օգոստոս ամսվա ընթացքում ավարտված հսկողական աշխատանքների արդյունքներով հսկիչ դրամարկղային մեքենաների կիրառման կանոնների խախտում արձանագրվել է 597 հարկ վճարողի մոտ:,Տնտեսություն
"Հսկողական միջոցառումների արդյունքում, ՀԴՄ կիրառման կանոնների խախտում թույլ տված հարկ վճարողներին ընդհանուր առմամբ առաջադրվել է շուրջ 234.4 մլն դրամի չափով տուգանք:",Տնտեսություն
Կառավարությունն իր այսօրվա ՝սեպտեմբերի 14-ի նիստում գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում ներմուծման մաքսատուրքից ազատեց «ՊԱԿ ՊԵՆ» սահմանափակ պատասխանատվությամբ ընկերությանը:,Տնտեսություն
 «ՊԱԿ ՊԵՆ»-ի կողմից ներմուծվող հումքը նախատեսվում է օգտագործել տարբեր տեսակի և նշանակության ինքնակպչուն ժապավենների արտադրության համար։,Տնտեսություն
Արտադրությունն իրականացվելու է ՀՀ Երևան քաղաքում։ Ընկերությունը հիմնադրվել է 2015թվականին։,Տնտեսություն
Ծրագրի շրջանակներում նախատեսվում է իրականացնել 15 մլն դրամի կապիտալ ներդրում և 773 մլն դրամի ներդրում հումքի ձեռքբերման համար։,Տնտեսություն
Ներդրումային ծրագրի շրջանակներում նախատեսվում է ստեղծել 3 նոր աշխատատեղ՝ մինչև 180 հազ դրամ միջին ամսական աշխատավարձով։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է 773 մլն դրամ: Մաքսատուրքից ազատման արտոնությունը գնահատվում է 48․6 մլնդրամ:,Տնտեսություն
Կառավարությունն իր մեկ այլ որոշմամբ գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում մաքսատուրքից ազատեց «ՍԱՐԱՆԻՍՏ» ՍՊԸ-ին:,Տնտեսություն
Այս ընկերության կողմից ներմուծվող հումքը նախատեսվում է օգտագործել ապակե տարաների արտադրության համար։,Տնտեսություն
Արտադրությունն իրականացվելու է ՀՀ Կոտայքի մարզում։ Ընկերությունը հիմնադրվել է 1989թվականին։,Տնտեսություն
Ծրագրի շրջանակներում նախատեսվում է իրականացնել 340 մլն դրամի ներդրում ապակու հալման վառարանի վերակառուցման համար։,Տնտեսություն
Ներդրումային ծրագրի շրջանակներում մինչև 2024 թվականի ավարտը նոր աշխատատեղերի ստեղծում չի նախատեսվում։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է 335․9 մլն դրամ: Մաքսատուրքից ազատման արտոնությունը գնահատվում է 43․4 մլն դրամ:,Տնտեսություն
Կառավարությունն իր մեկ այլ որոշմամբ գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում մաքսատուրքից ազատեց «Վ․Ա․Շ․ ՏՐԱՆՍ» սահմանափակ պատասխանատվությամբ ընկերությանը:,Տնտեսություն
"«Վ․Ա․Շ․ՏՐԱՆՍ» սահմանափակ պատասխանատվությամբ ընկերության կողմից ներմուծվող սարքավորումներըև քարշակները նախատեսվում են օգտագործել ցինկապատ մետաղական տանիքի ծածկերի, ջրահեռացման համակարգերի և համալրող այլ աքսեսուրաների, եվրոդուռ-լուսամուտների և գիպսակարտոնի պրոֆիլների արտադրության և վերջնական արտադրանքի տեղափոխման (արտահանման) համար։",Տնտեսություն
Արտադրությունն իրականացվելու է ՀՀ Կոտայքի մարզում։ Ընկերությունը հիմնադրվել է 2023 թվականին։,Տնտեսություն
Ծրագրի շրջանակներում նախատեսվում է իրականացնել 797 մլն դրամի ներդրում ցանկում ներկայացված ապրանքների ձեռքբերման համար։,Տնտեսություն
Նախատեսվում է ներդրումային ծրագրի շրջանակներում ստեղծել 40 նոր աշխատատեղ՝ մինչև 200-250 հազ դրամ միջին ամսական աշխատավարձով։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է797 մլն դրամ։ Մաքսատուրքից ազատման արտոնությունը գնահատվում է 53 մլն դրամ։,Տնտեսություն
Կառավարությունն իր մեկ այլ որոշմամբ գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում մաքսատուրքից ազատեց «ԳՌՕՄ» սահմանափակ պատասխանատվությամբ ընկերությանը:,Տնտեսություն
Այս ընկերության կողմից ներմուծվող հումքը նախատեսվում է օգտագործել լվացող և մաքրող միջոցների («Նաշ Սադ» ապրանքային նշանի ներքո) արտադրության համար։,Տնտեսություն
Արտադրությունն իրականացվելու է ՀՀ Երևան քաղաքում։ Ընկերությունը հիմնադրվել է 2002թվականին։,Տնտեսություն
Ծրագրի շրջանակներում նախատեսվում է իրականացնել 870 մլն դրամի ներդրում հումքի և 200 մլն դրամի ներդրում հիմնական միջոցների ձեռքբերման համար։,Տնտեսություն
Ներդրումային ծրագրի շրջանակներում նախատեսվում է ստեղծել 38 նոր աշխատատեղ՝ 250 հազար դրամ միջին ամսական աշխատավարձով։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է870մլնդրամ։ Մաքսատուրքից ազատման արտոնությունը գնահատվում է 55․5 մլն դրամ:,Տնտեսություն
Կառավարությունն իր մեկ այլ որոշմամբ գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում մաքսատուրքից ազատեց «ԱՍԿԵ ԳՐՈՒՊ» ԲԲԸ-ին:,Տնտեսություն
 «ԱՍԿԵ ԳՐՈՒՊ»-ի կողմից ներմուծվող սարքավորումները նախատեսվում է օգտագործել պողպատե ամրանների և պողպատե աղացագնդերի արտադրության համար։,Տնտեսություն
Արտադրությունն իրականացվելու է ՀՀ Կոտայքի մարզում։ Ընկերությունը հիմնադրվել է 1998թվականին։,Տնտեսություն
"Արդեն իսկ իրականացվել է 20 մլրդ դրամի կապիտալ ներդրում։ Ծրագրի շրջանակներում նախատեսվում է իրականացնել 1 մլրդ դրամի ներդրում, որից 955 մլն դրամը հաստոցների ձեռքբերման համար, իսկ մնացած մասը վերջինիս տեղակայման աշխատանքների իրականացման համար։",Տնտեսություն
Նախատեսվում է ներդրումային ծրագրի շրջանակներում ստեղծել 93 նոր աշխատատեղ՝ մինչև 360 հազ դրամ միջին ամսական աշխատավարձով։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է 955 մլն դրամ: Մաքսատուրքից ազատման արտոնությունը գնահատվում է 95․5 մլն դրամ:,Տնտեսություն
Կառավարությունն իր մեկ այլ որոշմամբ գերակա ոլորտում իրականացվող ներդրումային ծրագրի շրջանակներում մաքսատուրքից ազատեց «ՍՈԼԱՐ-5» սահմանափակ պատասխանատվությամբ ընկերությանը:,Տնտեսություն
"«ՍՈԼԱՐ-5»-ը կառուցել է 5 ՄՎտ հզորությամբ արևային կայան Գեղարքունիքի մարզի Շողակաթ համայնքում, որը մի շարք ուղղություններով դրական ազդեցություն է ունեցել Հայաստանում տնտեսական, բնապահպանական, էներգետիկ և ռազմավարական զարգացման համար։ Ընկերությունը հիմնադրվել է 2018 թվականին։",Տնտեսություն
Ծրագրի շրջանակներում փաստացի արդեն իսկ իրականացվել է 1․5 մլրդ դրամի կապիտալ ներդրում։,Տնտեսություն
Ծրագրի շրջանակներում նախատեսվում է իրականացնել ևս 60․6 մլն դրամի ներդրում հավելվածում ներկայացված ապրանքների ձեռքբերման համար:,Տնտեսություն
Ներդրումային ծրագրի շրջանակներում նոր աշխատատեղերի ստեղծում չի նախատեսվում։,Տնտեսություն
Արտոնություն ստանալու համար ներկայացված ապրանքների արժեքը կազմում է 60․6 մլն դրամ: Մաքսատուրքից ազատման արտոնությունը գնահատվում է 4․8 մլն դրամ:,Տնտեսություն
"NYMEX բորսայի սեպտեմբերի 13-ի առևտրային նստաշրջանի արդյունքում սահմանվել են ոսկու, արծաթի և պլատինի հետևյալ գները.",Տնտեսություն
"Ոսկու գինը նվազել է 0.03%-ով և կազմել 1931.10 դոլար, արծաթի գինը նվազել է 0.65%-ով և կազմել 23.05 դոլար, իսկ պլատինի գինը նվազել է 0.10%-ով և կազմել 907.10 դոլար:",Տնտեսություն
Չափման միավորը 1 տրոյական ունցիան է (31.1 գրամ):,Տնտեսություն
"Նյու Յորքի NYMEХ-ն (New York Merchantile Exchange) ամերիկայն ֆյուչերսային բորսա է, որն առեւտուրը շարունակվում է երկու բորսայական միավորներով` NYMEX-ի` նավթի, գազի, պլատինի, պալադիումի, էթանոլի, ածխի, էլեկտրաէներգիայի եւ ածխածնի երկօքսիդի արտանետումների և COMEX-ի ոսկու, արծաթի, պղինձի, ալյումինի ուղություններով:",Տնտեսություն
Նախարարի տեղակալ Աշխեն Շիրվանյանի գլխավորած պատվիրակությունը սեպտեմբերի 8-ից 11-ը աշխատանքային այց է կատարել Իրանի Իսլամական Հանրապետություն՝ ՀՀ Սյունիքի մարզի Մեղրիի սահմանային անցակետի մոտ կենդանիների արտահանման և տարանցիկ փոխադրման վերջնական անասնաբուժական զննման կամ կարանտինային անցակետ կառուցելու վերաբերյալ քննարկումներին մասնակցելու նպատակով։ Այս մասին հայտնում են ՀՀ էկոնոմիկայի նախարարությունից:,Տնտեսություն
"Այցի շրջանակում Աշխեն Շիրվանյանը հանդիպումներ է ունեցել ԻԻՀ գյուղատնտեսության նախարարի տեղակալ, ԻԻՀ անասնաբուժության կազմակերպության գլխավոր տնօրեն Վահիդ Սալեհիի և ԻԻՀ ձկնաբուծության կազմակերպության տնօրեն, ԻԻՀ գյուղատնտեսության նախարարի տեղակալ Սեյեդ Հոսեին Հոսեինիի հետ։",Տնտեսություն
"Հանդիպումների ընթացքում քննարկվել են գյուղատնտեսության ոլորտում երկկողմ համագործակցության ընդլայնման հնարավորությունները, ձեռք են բերվել պայմանավորվածություններ համագործակցելու մի շարք ուղղություններով։",Տնտեսություն
Այցի ընթացքում Աշխեն Շիրվանյանը ծանոթացել է Բուշեհր քաղաքում գործող կարանտինային և վերջնական անասնաբուժական զննման կետի գործունեությանը։,Տնտեսություն
"ԱՄՆ դոլարի փոխարժեքն այսօր՝ սեպտեմբերի 13-ին, կազմել է 386.23 դրամ՝ նախորդ օրվա համեմատ աճել է 0.39 դրամով: Այդ մասին տեղեկանում ենք Կենտրոնական բանկի պաշտոնական կայքից։",Տնտեսություն
"Եվրոյի փոխարժեքը կազմել է 414.70 դրամ (աճել է 1.23 դրամով), բրիտանական ֆունտի փոխարժեքը կազմել է 481.90 դրամ (աճել է 0.87 դրամով), իսկ ռուսական ռուբլու փոխարժեքը կազմել է 4.04 դրամ (աճել է 0.03 դրամով):",Տնտեսություն
"Հայաստանյան բանկերում դոլարը գնվում է 382-384 դրամով, վաճառվում է 387.50-388.50 դրամով:",Տնտեսություն
"Եվրոն բանկերում գնվում է 407-411 դրամով, վաճառվում է 417-421 դրամով:",Տնտեսություն
"Ռուբլին բանկերում գնվում է 3.76-4.00 դրամով, վաճառվում է 4.10-4.25 դրամով:",Տնտեսություն
Փոխանակման կետերում իրավիճակը հետևյալն է.,Տնտեսություն
"դոլարը գնվում է 385 դրամով, վաճառվում՝ 388 դրամով:",Տնտեսություն
"Եվրոն գնվում է 412-414 դրամով, վաճառվում է 417-418 դրամով:",Տնտեսություն
"Ռուբլին գնվում է 3.90-3.95 դրամով, վաճառվում է 4.05 դրամով:",Տնտեսություն
"Պղնձի գինը չորեքշաբթի էժանանում է, շուկաներն սպասում են օգոստոսի վերաբերյալ ԱՄՆ տարեկան գնաճի մասին վիճակագրության հրապարակմանը, որը կարող է ցուցադրել սպառողական գների աճի արագացում, վկայում են աճուրդների տվյալները։",Տնտեսություն
"Պղնձի դեկտեմբերյան ֆյուչերսը Comex բորսայում էժանացել է 0,25 տոկոսով՝ մեկ ֆունտը (մոտ 0,45 կիլոգրամ) 3,7 802 դոլար։",Տնտեսություն
"Լոնդոնի մետաղների բորսայում (LME), երեքշաբթի օրվա աճուրդների արդյունքներով, մեկ տոննա պղնձի արժեքը՝ երեք ամիս հետո մատակարարմամբ, իջել է 0,13 տոկոսով՝ 8 391 դոլար, ալյումինիումինը՝ 0,41 տոկոսով՝ 2 196,5 դոլար, ցինկինը՝ 1,22 տոկոսով՝ 2 479 դոլար։",Տնտեսություն
ՀՀ Էկոնոմիկայի նախարար Վահան Քերոբյանի գլխավորած պատվիրակությունը սեպտեմբերի 12-ին Իրաքի մայրաքաղաք Բաղդադում հանդիպել է ԻՀ գյուղատնտեսության նախարար Աբբաս Ալ-Մալիքիի հետ։,Տնտեսություն
"Հանդիպման սկզբում երկուստեք ընդգծվել է, որ հայ-իրաքյան առևտրատնտեսական հարաբերություններում առկա է զարգացման մեծ ներուժ, որը հարկավոր է լիարժեքորեն իրացնել։ Այնուհետև կողմերը քննարկել են գյուղատնտեսության ոլորտում համագործակցության ընդլայնման հնարավորությունները։ Առանձին անդրադարձ է կատարվել երկու երկրների գյուղատնտեսության ոլորտում կիրառվող պետական աջակցության գործիքակազմին։",Տնտեսություն
Իրաքի գյուղատնտեսության նախարարն առաջարկել է դիտարկել հայկական ընկերությունների մասնակցությունը Իրաքում կազմակերպվող միջազգային ցուցահանդեսներին և տոնավաճառներին՝ տեղական շուկայում Հայաստանի գյուղատնտեսական արտադրանքի ճանաչելիությունը բարձրացնելու նպատակով։,Տնտեսություն
Պայմանավորվածություն է ձեռք բերվել տեղեկատվություն փոխանակել գյուղատնտեսության ոլորտում գործող ծրագրերի վերաբերյալ։,Տնտեսություն
"Հայաստանի կենտրոնական բանկը կանխատեսում է, որ գնաճը տարեվերջին մոտ կլինի 0-ին, այս մասին ասուլիսում ասաց ԿԲ նախագահ Մարտին  Գալստյանը:",Տնտեսություն
"«Մենք կարծում ենք, որ այս տարվա վերջին կունենանք 0-ին մոտ գնաճ»,-ասաց ԿԲ նախագահը:",Տնտեսություն
"Խոսելով դրամի հնարավոր արժևորումից կամ արժեզրկումից՝ Մարտին Գալստյանը ներկայացրեց մի քանի պայմանական սցենարներ: Կարող է լինել, օրինակ, սցենար, որ տեղի ունեցող աշխարհաքաղաքական իրադարձությունների ֆոնին Հայաստան միջազգային այցելուների նոր հոսք գրանցվի, որի արդյունքում կլինի արտարժույթի առաջարկի մեծացում, որի դեպքում կարելի է ակնկալել դրամի որոշակի արժևորում:",Տնտեսություն
"«Այլ սցենարի պարագայում մեր հայրենակիցների կողմից ստեղծված արդյունքն ուղղվում է սպառման, սպառման մեծ մասը լինում է ներմուծման տեսքով, որը ենթադրում է արտարժույթի նկատմամբ պահանջարկ, որը կարող է հանգեցնել ընթացիկ հաշվի ճեղքի բացման, որի արդյունքում էլ կարող է լինել ազգային արժույթի որոշակի արժեզրկում»,-ասաց Գալստյանը:",Տնտեսություն
Կենտրոնական բանկը սեպտեմբերի 12-ին վերաֆինանսավորման տոկոսադրույքն իջեցրել է 0.5 տոկոսային կետով:,Տնտեսություն
"Անդրադառնալով հարցին, թե կարող է արդյոք տոկոսադրույքի նվազեցումն ազդել դրամի թուլացման վրա՝ ԿԲ նախագահը պատասխանեց, որ տեսականորեն՝ այո, կարող է: «Եթե դու իջեցնում ես տոկոսադրույքը, այն ակտիվի տոկոսադրույքը, որը նվազում է, դառնում է ավելի քիչ հրապուրիչ ներդրողների տեսանկյունից՝ մանավանդ, որ մյուս կողմից տեսնում ենք, որ ԱՄՆ-ում, Եվրոպայում դեռևս տոկոսադրույքների աճի միտումը շարունակվում է»,-ասաց Գալստյանը:",Տնտեսություն
"ԿԲ նախագահը վստահեցրեց, որ վերաֆինանսավորման տոկոսադրույքի իջեցման ԿԲ-ի նպատակադրումը դա չէ, Կենտրոնական բանկի խնդիրը եղել և մնում է գների կայունությունը:",Տնտեսություն
"Գալստյանը նաև նշեց, որ գնաճի առումով ԿԲ-ի՝ վերաֆինանսավորման տոկոսադրույքն իջեցնելու որոշումը նշանակում է, որ ռիսկերն ավելի կառավարելի են, քան գարնան կամ ձմռան ամիսներին: «Սակայն չենք կարող հայտարարել, որ վերջնականապես գնաճի խնդիրը մենք այս երկրում լուծել ենք: Դեռ գործ ունենք անելու, բայց, բնականաբար, նախկինում արած գործի շնորհիվ այս պահի դրությամբ արվելիք գործն ավելի թեթև է»,-ասաց նա:",Տնտեսություն
"ԱՄՆ դոլարի փոխարժեքն այսօր՝ սեպտեմբերի 12-ին, կազմել է 385.84 դրամ՝ նախորդ օրվա համեմատ նվազել է 0.26 դրամով: Այդ մասին տեղեկանում ենք Կենտրոնական բանկի պաշտոնական կայքից։",Տնտեսություն
"Եվրոյի փոխարժեքը կազմել է 413.47 դրամ (նվազել է 0.85 դրամով), բրիտանական ֆունտի փոխարժեքը կազմել է 481.03 դրամ (նվազել է 2.02 դրամով), իսկ ռուսական ռուբլու փոխարժեքը կազմել է 4.07 դրամ (աճել է 0.07 դրամով):",Տնտեսություն
"Հայաստանյան բանկերում դոլարը գնվում է 382-383 դրամով, վաճառվում է 387.50-388.50 դրամով:",Տնտեսություն
"Եվրոն բանկերում գնվում է 406-410 դրամով, վաճառվում է 416-421 դրամով:",Տնտեսություն
"Ռուբլին բանկերում գնվում է 3.67-4.05 դրամով, վաճառվում է 4.16-4.29 դրամով:",Տնտեսություն
Փոխանակման կետերում իրավիճակը հետևյալն է.,Տնտեսություն
"դոլարը գնվում է 384-385 դրամով, վաճառվում՝ 388 դրամով:",Տնտեսություն
"Եվրոն գնվում է 410-414 դրամով, վաճառվում է 418 դրամով:",Տնտեսություն
